% Model:              me_rodliteral_losses.mph
% Version:            COMSOL 5.2.1.262
% Date:               Oct 3 2017, 22:13
% Dimension:          3
% Nodes:              65331
% Expressions:        1
% Description:        Energy (Joules)
% Length unit:        mm
% x             y              z              real(f32energy(bn,es.normE,ang))-enm
1.6000          0.10000        0.0000         9.6442
1.6500          0.10000        0.0000         9.7499
1.7000          0.10000        0.0000         9.8110
1.7500          0.10000        0.0000         9.9068
1.8000          0.10000        0.0000         9.9612
1.8500          0.10000        0.0000         10.033
1.9000          0.10000        0.0000         10.090
1.9500          0.10000        0.0000         10.147
2.0000          0.10000        0.0000         10.148
2.0500          0.10000        0.0000         10.194
2.1000          0.10000        0.0000         10.254
2.1500          0.10000        0.0000         10.325
2.2000          0.10000        0.0000         10.358
2.2500          0.10000        0.0000         10.391
2.3000          0.10000        0.0000         10.424
2.3500          0.10000        0.0000         10.438
2.4000          0.10000        0.0000         10.459
2.4500          0.10000        0.0000         10.480
2.5000          0.10000        0.0000         10.501
2.5500          0.10000        0.0000         10.531
2.6000          0.10000        0.0000         10.457
2.6500          0.10000        0.0000         10.480
2.7000          0.10000        0.0000         10.481
2.7500          0.10000        0.0000         10.580
2.8000          0.10000        0.0000         10.577
2.8500          0.10000        0.0000         10.575
2.9000          0.10000        0.0000         10.572
2.9500          0.10000        0.0000         10.569
3.0000          0.10000        0.0000         10.525
0.0000          0.15000        0.0000         1.6362
0.050000        0.15000        0.0000         1.7949
0.10000         0.15000        0.0000         2.1217
0.15000         0.15000        0.0000         2.5044
0.20000         0.15000        0.0000         2.9092
0.25000         0.15000        0.0000         3.3290
0.30000         0.15000        0.0000         3.7470
0.35000         0.15000        0.0000         4.1589
0.40000         0.15000        0.0000         4.5608
0.45000         0.15000        0.0000         4.9592
0.50000         0.15000        0.0000         5.3323
0.55000         0.15000        0.0000         5.6951
0.60000         0.15000        0.0000         6.0498
0.65000         0.15000        0.0000         6.3631
0.70000         0.15000        0.0000         6.7111
0.75000         0.15000        0.0000         7.0212
0.80000         0.15000        0.0000         7.3091
0.85000         0.15000        0.0000         7.5761
0.90000         0.15000        0.0000         7.8301
0.95000         0.15000        0.0000         8.0643
1.0000          0.15000        0.0000         8.2989
1.0500          0.15000        0.0000         8.4930
1.1000          0.15000        0.0000         8.6906
1.1500          0.15000        0.0000         8.8745
1.2000          0.15000        0.0000         9.0485
1.2500          0.15000        0.0000         9.2075
1.3000          0.15000        0.0000         9.3469
1.3500          0.15000        0.0000         9.4890
1.4000          0.15000        0.0000         9.6146
1.4500          0.15000        0.0000         9.7371
1.5000          0.15000        0.0000         9.8258
1.5500          0.15000        0.0000         9.9259
1.6000          0.15000        0.0000         10.024
1.6500          0.15000        0.0000         10.116
1.7000          0.15000        0.0000         10.205
1.7500          0.15000        0.0000         10.291
1.8000          0.15000        0.0000         10.345
1.8500          0.15000        0.0000         10.408
1.9000          0.15000        0.0000         10.445
1.9500          0.15000        0.0000         10.516
2.0000          0.15000        0.0000         10.585
2.0500          0.15000        0.0000         10.622
2.1000          0.15000        0.0000         10.656
2.1500          0.15000        0.0000         10.681
2.2000          0.15000        0.0000         10.718
2.2500          0.15000        0.0000         10.769
2.3000          0.15000        0.0000         10.810
2.3500          0.15000        0.0000         10.835
2.4000          0.15000        0.0000         10.849
2.4500          0.15000        0.0000         10.872
2.5000          0.15000        0.0000         10.887
2.5500          0.15000        0.0000         10.953
2.6000          0.15000        0.0000         10.990
2.6500          0.15000        0.0000         10.962
2.7000          0.15000        0.0000         10.951
2.7500          0.15000        0.0000         10.952
2.8000          0.15000        0.0000         10.952
2.8500          0.15000        0.0000         10.953
2.9000          0.15000        0.0000         10.953
2.9500          0.15000        0.0000         10.954
3.0000          0.15000        0.0000         10.953
0.0000          0.20000        0.0000         2.2482
0.050000        0.20000        0.0000         2.3981
0.10000         0.20000        0.0000         2.7146
0.15000         0.20000        0.0000         3.0859
0.20000         0.20000        0.0000         3.4818
0.25000         0.20000        0.0000         3.8876
0.30000         0.20000        0.0000         4.2844
0.35000         0.20000        0.0000         4.6998
0.40000         0.20000        0.0000         5.1011
0.45000         0.20000        0.0000         5.4914
0.50000         0.20000        0.0000         5.8539
0.55000         0.20000        0.0000         6.2307
0.60000         0.20000        0.0000         6.5775
0.65000         0.20000        0.0000         6.9128
0.70000         0.20000        0.0000         7.2313
0.75000         0.20000        0.0000         7.5229
0.80000         0.20000        0.0000         7.8089
0.85000         0.20000        0.0000         8.0753
0.90000         0.20000        0.0000         8.3210
0.95000         0.20000        0.0000         8.5688
1.0000          0.20000        0.0000         8.7725
1.0500          0.20000        0.0000         8.9858
1.1000          0.20000        0.0000         9.1789
1.1500          0.20000        0.0000         9.3532
1.2000          0.20000        0.0000         9.5209
1.2500          0.20000        0.0000         9.6750
1.3000          0.20000        0.0000         9.8186
1.3500          0.20000        0.0000         9.9542
1.4000          0.20000        0.0000         10.075
1.4500          0.20000        0.0000         10.190
1.5000          0.20000        0.0000         10.305
1.5500          0.20000        0.0000         10.406
1.6000          0.20000        0.0000         10.499
1.6500          0.20000        0.0000         10.567
1.7000          0.20000        0.0000         10.636
1.7500          0.20000        0.0000         10.713
1.8000          0.20000        0.0000         10.789
1.8500          0.20000        0.0000         10.852
1.9000          0.20000        0.0000         10.917
1.9500          0.20000        0.0000         10.987
2.0000          0.20000        0.0000         11.033
2.0500          0.20000        0.0000         11.060
2.1000          0.20000        0.0000         11.095
2.1500          0.20000        0.0000         11.155
2.2000          0.20000        0.0000         11.182
2.2500          0.20000        0.0000         11.209
2.3000          0.20000        0.0000         11.239
2.3500          0.20000        0.0000         11.263
2.4000          0.20000        0.0000         11.287
2.4500          0.20000        0.0000         11.289
2.5000          0.20000        0.0000         11.297
2.5500          0.20000        0.0000         11.296
2.6000          0.20000        0.0000         11.301
2.6500          0.20000        0.0000         11.284
2.7000          0.20000        0.0000         11.406
2.7500          0.20000        0.0000         11.418
2.8000          0.20000        0.0000         11.430
2.8500          0.20000        0.0000         11.430
2.9000          0.20000        0.0000         11.430
2.9500          0.20000        0.0000         11.423
3.0000          0.20000        0.0000         11.416
0.0000          0.25000        0.0000         2.8852
0.050000        0.25000        0.0000         3.0278
0.10000         0.25000        0.0000         3.3469
0.15000         0.25000        0.0000         3.7050
0.20000         0.25000        0.0000         4.0996
0.25000         0.25000        0.0000         4.5020
0.30000         0.25000        0.0000         4.9054
0.35000         0.25000        0.0000         5.3069
0.40000         0.25000        0.0000         5.6980
0.45000         0.25000        0.0000         6.0774
0.50000         0.25000        0.0000         6.4638
0.55000         0.25000        0.0000         6.8212
0.60000         0.25000        0.0000         7.1566
0.65000         0.25000        0.0000         7.4949
0.70000         0.25000        0.0000         7.7968
0.75000         0.25000        0.0000         8.0849
0.80000         0.25000        0.0000         8.3617
0.85000         0.25000        0.0000         8.6244
0.90000         0.25000        0.0000         8.8739
0.95000         0.25000        0.0000         9.0869
1.0000          0.25000        0.0000         9.2964
1.0500          0.25000        0.0000         9.5069
1.1000          0.25000        0.0000         9.6953
1.1500          0.25000        0.0000         9.8711
1.2000          0.25000        0.0000         10.039
1.2500          0.25000        0.0000         10.189
1.3000          0.25000        0.0000         10.321
1.3500          0.25000        0.0000         10.451
1.4000          0.25000        0.0000         10.571
1.4500          0.25000        0.0000         10.692
1.5000          0.25000        0.0000         10.794
1.5500          0.25000        0.0000         10.902
1.6000          0.25000        0.0000         10.983
1.6500          0.25000        0.0000         11.061
1.7000          0.25000        0.0000         11.132
1.7500          0.25000        0.0000         11.205
1.8000          0.25000        0.0000         11.280
1.8500          0.25000        0.0000         11.342
1.9000          0.25000        0.0000         11.391
1.9500          0.25000        0.0000         11.440
2.0000          0.25000        0.0000         11.488
2.0500          0.25000        0.0000         11.518
2.1000          0.25000        0.0000         11.582
2.1500          0.25000        0.0000         11.618
2.2000          0.25000        0.0000         11.650
2.2500          0.25000        0.0000         11.668
2.3000          0.25000        0.0000         11.688
2.3500          0.25000        0.0000         11.711
2.4000          0.25000        0.0000         11.735
2.4500          0.25000        0.0000         11.775
2.5000          0.25000        0.0000         11.795
2.5500          0.25000        0.0000         11.820
2.6000          0.25000        0.0000         11.823
2.6500          0.25000        0.0000         11.829
2.7000          0.25000        0.0000         11.809
2.7500          0.25000        0.0000         11.792
2.8000          0.25000        0.0000         11.880
2.8500          0.25000        0.0000         11.892
2.9000          0.25000        0.0000         11.904
2.9500          0.25000        0.0000         11.908
3.0000          0.25000        0.0000         11.899
0.0000          0.30000        0.0000         3.5381
0.050000        0.30000        0.0000         3.6868
0.10000         0.30000        0.0000         3.9995
0.15000         0.30000        0.0000         4.3611
0.20000         0.30000        0.0000         4.7495
0.25000         0.30000        0.0000         5.1512
0.30000         0.30000        0.0000         5.5591
0.35000         0.30000        0.0000         5.9578
0.40000         0.30000        0.0000         6.3510
0.45000         0.30000        0.0000         6.7276
0.50000         0.30000        0.0000         7.0936
0.55000         0.30000        0.0000         7.4476
0.60000         0.30000        0.0000         7.7807
0.65000         0.30000        0.0000         8.1127
0.70000         0.30000        0.0000         8.4286
0.75000         0.30000        0.0000         8.6669
0.80000         0.30000        0.0000         8.9449
0.85000         0.30000        0.0000         9.2344
0.90000         0.30000        0.0000         9.4767
0.95000         0.30000        0.0000         9.7041
1.0000          0.30000        0.0000         9.9054
1.0500          0.30000        0.0000         10.101
1.1000          0.30000        0.0000         10.284
1.1500          0.30000        0.0000         10.446
1.2000          0.30000        0.0000         10.612
1.2500          0.30000        0.0000         10.768
1.3000          0.30000        0.0000         10.901
1.3500          0.30000        0.0000         11.029
1.4000          0.30000        0.0000         11.153
1.4500          0.30000        0.0000         11.267
1.5000          0.30000        0.0000         11.369
1.5500          0.30000        0.0000         11.450
1.6000          0.30000        0.0000         11.541
1.6500          0.30000        0.0000         11.612
1.7000          0.30000        0.0000         11.683
1.7500          0.30000        0.0000         11.749
1.8000          0.30000        0.0000         11.805
1.8500          0.30000        0.0000         11.843
1.9000          0.30000        0.0000         11.942
1.9500          0.30000        0.0000         11.999
2.0000          0.30000        0.0000         12.022
2.0500          0.30000        0.0000         12.070
2.1000          0.30000        0.0000         12.099
2.1500          0.30000        0.0000         12.131
2.2000          0.30000        0.0000         12.168
2.2500          0.30000        0.0000         12.186
2.3000          0.30000        0.0000         12.189
2.3500          0.30000        0.0000         12.218
2.4000          0.30000        0.0000         12.253
2.4500          0.30000        0.0000         12.285
2.5000          0.30000        0.0000         12.306
2.5500          0.30000        0.0000         12.331
2.6000          0.30000        0.0000         12.368
2.6500          0.30000        0.0000         12.360
2.7000          0.30000        0.0000         12.361
2.7500          0.30000        0.0000         12.344
2.8000          0.30000        0.0000         12.327
2.8500          0.30000        0.0000         12.354
2.9000          0.30000        0.0000         12.365
2.9500          0.30000        0.0000         12.373
3.0000          0.30000        0.0000         12.361
0.0000          0.35000        0.0000         4.2164
0.050000        0.35000        0.0000         4.3639
0.10000         0.35000        0.0000         4.6794
0.15000         0.35000        0.0000         5.0526
0.20000         0.35000        0.0000         5.4417
0.25000         0.35000        0.0000         5.8435
0.30000         0.35000        0.0000         6.2446
0.35000         0.35000        0.0000         6.6343
0.40000         0.35000        0.0000         7.0222
0.45000         0.35000        0.0000         7.4100
0.50000         0.35000        0.0000         7.7430
0.55000         0.35000        0.0000         8.1318
0.60000         0.35000        0.0000         8.4742
0.65000         0.35000        0.0000         8.7952
0.70000         0.35000        0.0000         9.0780
0.75000         0.35000        0.0000         9.3705
0.80000         0.35000        0.0000         9.6226
0.85000         0.35000        0.0000         9.8744
0.90000         0.35000        0.0000         10.105
0.95000         0.35000        0.0000         10.330
1.0000          0.35000        0.0000         10.537
1.0500          0.35000        0.0000         10.726
1.1000          0.35000        0.0000         10.906
1.1500          0.35000        0.0000         11.067
1.2000          0.35000        0.0000         11.219
1.2500          0.35000        0.0000         11.343
1.3000          0.35000        0.0000         11.487
1.3500          0.35000        0.0000         11.615
1.4000          0.35000        0.0000         11.729
1.4500          0.35000        0.0000         11.839
1.5000          0.35000        0.0000         11.948
1.5500          0.35000        0.0000         12.050
1.6000          0.35000        0.0000         12.128
1.6500          0.35000        0.0000         12.191
1.7000          0.35000        0.0000         12.254
1.7500          0.35000        0.0000         12.320
1.8000          0.35000        0.0000         12.386
1.8500          0.35000        0.0000         12.452
1.9000          0.35000        0.0000         12.479
1.9500          0.35000        0.0000         12.535
2.0000          0.35000        0.0000         12.592
2.0500          0.35000        0.0000         12.642
2.1000          0.35000        0.0000         12.666
2.1500          0.35000        0.0000         12.688
2.2000          0.35000        0.0000         12.710
2.2500          0.35000        0.0000         12.742
2.3000          0.35000        0.0000         12.769
2.3500          0.35000        0.0000         12.791
2.4000          0.35000        0.0000         12.804
2.4500          0.35000        0.0000         12.824
2.5000          0.35000        0.0000         12.820
2.5500          0.35000        0.0000         12.848
2.6000          0.35000        0.0000         12.871
2.6500          0.35000        0.0000         12.898
2.7000          0.35000        0.0000         12.906
2.7500          0.35000        0.0000         12.902
2.8000          0.35000        0.0000         12.886
2.8500          0.35000        0.0000         12.869
2.9000          0.35000        0.0000         12.852
2.9500          0.35000        0.0000         12.928
3.0000          0.35000        0.0000         12.924
0.0000          0.40000        0.0000         4.9149
0.050000        0.40000        0.0000         5.0658
0.10000         0.40000        0.0000         5.3894
